ProjectId,Benchmark (Y/N),ProjectedProjectStart,ProjectedDesignStart,ProjectedDesignCompletion,ProjectedConstructionStart,ProjectedConstructionCompletion,OrgProjectStart,OrgDesignStart,OrgDesignCompletion,OrgConstructionStart,OrgConstructionCompletion,ClientExtProjectStart,ClientExtOrgDesignStart,ClientExtOrgDesignCompletion,ClientExtOrgConstructionStart,ClientExtOrgConstructionCompletion,ActProjectStart,ActDesignStart,ActDesignCompletion,ActConstructionStart,ActConstructionCompletion,ClientExtBaseDesignCompletion,ClientExtBaseConstructionCompletion,DesignBaselineProjectStart,ConstructionBaselineProjectStart,DesignBaselineDesignStart,ConstructionBaselineDesignStart,OrgSchematicDesignCompletion,ProjectedSchematicDesignCompletion,ActSchematicDesignCompletion,DesignBaselineSchematicDesignCompletion,ConstructionBaselineSchematicDesignCompletion,OrgDesignDevelopmentCompletion,ProjectedDesignDevelopmentCompletion,ActDesignDevelopmentCompletion,DesignBaselineDesignDevelopmentCompletion,ConstructionBaselineDesignDevelopmentCompletion,DesignBaselineDesignCompletion,ConstructionBaselineDesignCompletion,DesignBaselineConstructionStart,ConstructionBaselineConstructionStart,DesignBaselineConstructionCompletion,ConstructionBaselineConstructionCompletion,OrgProjectCloseout,ProjectedProjectCloseout,ActProjectCloseout,DesignBaselineProjectCloseout,ConstructionBaselineProjectCloseout,CreatedDate,ModifiedDate
HW2CR16D,Y,2015-07-07 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-05-31 00:00:00.0000000 +00:00,2018-05-30 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-08-08 00:00:00.0000000 +00:00,2018-08-07 00:00:00.0000000 +00:00,,,,,,2015-07-07 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-05-31 00:00:00.0000000 +00:00,,2015-10-15 00:00:00.0000000 +00:00,2018-05-30 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-09-15 00:00:00.0000000 +00:00,2015-09-15 00:00:00.0000000 +00:00,2015-09-15 00:00:00.0000000 +00:00,2015-09-15 00:00:00.0000000 +00:00,2015-09-15 00:00:00.0000000 +00:00,,,,,,2015-10-15 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-05-31 00:00:00.0000000 +00:00,2016-05-31 00:00:00.0000000 +00:00,2018-05-30 00:00:00.0000000 +00:00,2018-05-30 00:00:00.0000000 +00:00,2021-08-06 00:00:00.0000000 +00:00,2021-05-29 00:00:00.0000000 +00:00,,2021-05-29 00:00:00.0000000 +00:00,2021-05-29 00:00:00.0000000 +00:00,,
HW2CR16E,Y,2015-07-07 00:00:00.0000000 +00:00,2015-08-17 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-06-20 00:00:00.0000000 +00:00,2018-06-19 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-08-17 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-06-15 00:00:00.0000000 +00:00,2018-06-14 00:00:00.0000000 +00:00,,,,,,2015-07-07 17:00:00.0000000 +00:00,2015-08-17 17:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-06-20 17:00:00.0000000 +00:00,,2015-10-15 00:00:00.0000000 +00:00,2018-06-19 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-08-17 00:00:00.0000000 +00:00,2015-08-17 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,,,,,,2015-10-15 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-06-20 00:00:00.0000000 +00:00,2016-06-20 00:00:00.0000000 +00:00,2018-06-19 00:00:00.0000000 +00:00,2018-06-19 00:00:00.0000000 +00:00,2021-06-18 00:00:00.0000000 +00:00,2021-06-18 00:00:00.0000000 +00:00,,2021-06-18 00:00:00.0000000 +00:00,2021-06-18 00:00:00.0000000 +00:00,,2017-08-29 11:27:58.7492976 -04:00
HW2CR17A,Y,2015-10-16 00:00:00.0000000 +00:00,2016-01-05 00:00:00.0000000 +00:00,2016-05-30 00:00:00.0000000 +00:00,2017-02-15 00:00:00.0000000 +00:00,2019-02-14 00:00:00.0000000 +00:00,2015-10-16 00:00:00.0000000 +00:00,2016-01-05 00:00:00.0000000 +00:00,2016-04-05 00:00:00.0000000 +00:00,2016-11-18 00:00:00.0000000 +00:00,2018-11-19 00:00:00.0000000 +00:00,,,,,,2015-10-16 00:00:00.0000000 +00:00,2016-01-15 00:00:00.0000000 +00:00,2016-05-30 00:00:00.0000000 +00:00,2017-02-15 00:00:00.0000000 +00:00,,2016-05-30 00:00:00.0000000 +00:00,2019-02-14 00:00:00.0000000 +00:00,2015-10-16 00:00:00.0000000 +00:00,2015-10-16 00:00:00.0000000 +00:00,2016-01-15 00:00:00.0000000 +00:00,2016-01-15 00:00:00.0000000 +00:00,2016-02-25 00:00:00.0000000 +00:00,2016-02-25 00:00:00.0000000 +00:00,2016-02-25 00:00:00.0000000 +00:00,2016-02-25 00:00:00.0000000 +00:00,2016-02-25 00:00:00.0000000 +00:00,,,,,,2016-05-30 00:00:00.0000000 +00:00,2016-05-30 00:00:00.0000000 +00:00,2017-02-15 00:00:00.0000000 +00:00,2017-02-15 00:00:00.0000000 +00:00,2019-02-14 00:00:00.0000000 +00:00,2019-02-14 00:00:00.0000000 +00:00,2022-02-13 00:00:00.0000000 +00:00,2022-02-13 00:00:00.0000000 +00:00,,2022-02-13 00:00:00.0000000 +00:00,2022-02-13 00:00:00.0000000 +00:00,,2017-11-29 11:16:56.8526800 -05:00
HW2CR17CW,Y,2015-10-18 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,2016-03-30 00:00:00.0000000 +00:00,2017-02-01 00:00:00.0000000 +00:00,2019-01-31 00:00:00.0000000 +00:00,2015-10-18 00:00:00.0000000 +00:00,2016-03-06 00:00:00.0000000 +00:00,2016-07-29 00:00:00.0000000 +00:00,2017-03-14 00:00:00.0000000 +00:00,2018-03-17 00:00:00.0000000 +00:00,,,,,,2015-10-18 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,,,,2015-11-29 00:00:00.0000000 +00:00,2020-01-27 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,2019-03-13 00:00:00.0000000 +00:00,2020-01-27 00:00:00.0000000 +00:00,,,,,
HW2CR18B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-31 16:59:46.1625964 -04:00
HW2CR18C,Y,2016-06-01 00:00:00.0000000 +00:00,2016-10-11 00:00:00.0000000 +00:00,2017-02-23 00:00:00.0000000 +00:00,2017-10-16 00:00:00.0000000 +00:00,2019-11-13 00:00:00.0000000 +00:00,2016-06-01 00:00:00.0000000 +00:00,2016-10-11 00:00:00.0000000 +00:00,2017-02-23 00:00:00.0000000 +00:00,2017-10-16 00:00:00.0000000 +00:00,2019-11-13 00:00:00.0000000 +00:00,,,,,,2016-06-01 18:00:00.0000000 +00:00,2016-10-11 17:00:00.0000000 +00:00,,,,2017-02-23 00:00:00.0000000 +00:00,2019-11-13 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,2021-05-07 00:00:00.0000000 +00:00,2021-05-07 00:00:00.0000000 +00:00,,,,,
HW2CR18D,Y,2016-05-30 00:00:00.0000000 +00:00,2016-07-15 00:00:00.0000000 +00:00,2016-07-18 00:00:00.0000000 +00:00,2016-07-25 00:00:00.0000000 +00:00,2016-07-28 00:00:00.0000000 +00:00,2016-05-30 00:00:00.0000000 +00:00,2016-07-15 00:00:00.0000000 +00:00,2016-12-15 00:00:00.0000000 +00:00,2017-07-14 00:00:00.0000000 +00:00,2018-07-13 00:00:00.0000000 +00:00,,,,,,2016-05-30 18:00:00.0000000 +00:00,2016-07-15 17:00:00.0000000 +00:00,,,2016-07-28 17:00:00.0000000 +00:00,2016-12-15 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,2019-07-13 00:00:00.0000000 +00:00,2017-07-28 00:00:00.0000000 +00:00,,,,,2017-08-31 10:38:02.7528536 -04:00
HW2CR18E,Y,2016-06-01 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2016-11-30 00:00:00.0000000 +00:00,2017-09-05 00:00:00.0000000 +00:00,2019-09-04 00:00:00.0000000 +00:00,2016-06-01 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2016-11-30 00:00:00.0000000 +00:00,2017-09-05 00:00:00.0000000 +00:00,2019-09-04 00:00:00.0000000 +00:00,,,,,,2016-06-01 18:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-03 00:00:00.0000000 +00:00,2020-03-03 00:00:00.0000000 +00:00,,,,,2017-09-29 07:46:56.8882721 -04:00
HW349FED2,Y,2014-07-10 00:00:00.0000000 +00:00,2014-07-10 00:00:00.0000000 +00:00,2014-08-11 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,2016-09-28 00:00:00.0000000 +00:00,2014-07-10 00:00:00.0000000 +00:00,2014-07-10 00:00:00.0000000 +00:00,2014-09-10 00:00:00.0000000 +00:00,2015-04-01 00:00:00.0000000 +00:00,2015-12-30 00:00:00.0000000 +00:00,,,,,,2014-07-10 17:00:00.0000000 +00:00,2014-07-10 17:00:00.0000000 +00:00,2014-08-11 00:00:00.0000000 +00:00,2015-09-14 17:00:00.0000000 +00:00,2016-09-28 18:00:00.0000000 +00:00,2014-08-11 00:00:00.0000000 +00:00,2016-09-28 00:00:00.0000000 +00:00,2014-07-10 00:00:00.0000000 +00:00,2014-07-10 17:00:00.0000000 +00:00,2014-07-10 00:00:00.0000000 +00:00,2014-07-10 17:00:00.0000000 +00:00,,2014-07-25 00:00:00.0000000 +00:00,2014-07-25 00:00:00.0000000 +00:00,2014-07-25 00:00:00.0000000 +00:00,2014-07-25 00:00:00.0000000 +00:00,,,,,,2014-08-11 00:00:00.0000000 +00:00,2014-08-11 00:00:00.0000000 +00:00,2015-09-14 00:00:00.0000000 +00:00,2015-09-14 17:00:00.0000000 +00:00,2016-09-28 00:00:00.0000000 +00:00,2016-09-28 18:00:00.0000000 +00:00,2016-04-07 00:00:00.0000000 +00:00,2019-09-27 00:00:00.0000000 +00:00,,2019-09-27 00:00:00.0000000 +00:00,2019-09-27 00:00:00.0000000 +00:00,,2017-08-25 12:28:36.5919816 -04:00
HW349FED3,Y,2015-07-01 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2017-03-13 00:00:00.0000000 +00:00,2017-12-07 00:00:00.0000000 +00:00,2015-07-01 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2017-03-13 00:00:00.0000000 +00:00,2019-12-07 00:00:00.0000000 +00:00,,,,,,2015-07-01 18:00:00.0000000 +00:00,2015-07-15 18:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2017-03-13 08:00:00.0000000 +00:00,2017-12-01 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2017-12-07 00:00:00.0000000 +00:00,2015-07-01 00:00:00.0000000 +00:00,2015-07-01 18:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2015-07-15 18:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,,,,,,2015-09-30 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2017-03-13 00:00:00.0000000 +00:00,2017-03-13 08:00:00.0000000 +00:00,2017-12-07 00:00:00.0000000 +00:00,2017-12-07 00:00:00.0000000 +00:00,2020-12-06 00:00:00.0000000 +00:00,2020-12-06 00:00:00.0000000 +00:00,,2020-12-06 00:00:00.0000000 +00:00,2020-12-06 00:00:00.0000000 +00:00,,2017-12-01 16:10:57.5344230 -05:00
HWBARUCH,Y,2013-07-30 00:00:00.0000000 +00:00,2014-03-10 00:00:00.0000000 +00:00,2016-09-16 00:00:00.0000000 +00:00,2018-03-15 00:00:00.0000000 +00:00,2020-03-13 00:00:00.0000000 +00:00,2013-07-30 00:00:00.0000000 +00:00,2014-07-15 00:00:00.0000000 +00:00,2016-01-15 00:00:00.0000000 +00:00,2016-07-15 00:00:00.0000000 +00:00,2018-01-14 00:00:00.0000000 +00:00,2013-07-30 00:00:00.0000000 +00:00,2014-03-10 00:00:00.0000000 +00:00,2016-10-01 00:00:00.0000000 +00:00,2017-04-01 00:00:00.0000000 +00:00,2018-10-01 00:00:00.0000000 +00:00,2013-07-30 00:00:00.0000000 +00:00,2014-03-10 00:00:00.0000000 +00:00,2016-09-16 00:00:00.0000000 +00:00,,,2016-09-16 00:00:00.0000000 +00:00,,2013-07-30 00:00:00.0000000 +00:00,,2014-03-10 00:00:00.0000000 +00:00,,,2015-11-17 00:00:00.0000000 +00:00,2015-11-17 00:00:00.0000000 +00:00,2015-11-17 00:00:00.0000000 +00:00,,,,,,,2016-09-16 00:00:00.0000000 +00:00,,2018-01-15 00:00:00.0000000 +00:00,,2020-01-14 00:00:00.0000000 +00:00,,2021-01-13 00:00:00.0000000 +00:00,2023-03-13 00:00:00.0000000 +00:00,,2023-01-13 00:00:00.0000000 +00:00,,,2017-10-20 11:37:23.4811299 -04:00
HWBUSPAD6,Y,2014-11-07 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2016-11-30 00:00:00.0000000 +00:00,2017-10-10 00:00:00.0000000 +00:00,2019-06-06 00:00:00.0000000 +00:00,2014-11-07 00:00:00.0000000 +00:00,2015-08-15 00:00:00.0000000 +00:00,2016-08-30 00:00:00.0000000 +00:00,2017-03-01 00:00:00.0000000 +00:00,2018-02-28 00:00:00.0000000 +00:00,,,,,,2014-11-07 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2016-11-30 00:00:00.0000000 +00:00,2017-10-10 00:00:00.0000000 +00:00,,2016-11-30 00:00:00.0000000 +00:00,2019-04-16 00:00:00.0000000 +00:00,2014-11-07 00:00:00.0000000 +00:00,2014-11-07 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2015-09-30 00:00:00.0000000 +00:00,2016-08-10 00:00:00.0000000 +00:00,2016-08-10 00:00:00.0000000 +00:00,2016-08-10 00:00:00.0000000 +00:00,2016-08-10 00:00:00.0000000 +00:00,2016-08-10 00:00:00.0000000 +00:00,,,,,,2016-11-30 00:00:00.0000000 +00:00,2016-11-30 00:00:00.0000000 +00:00,2017-10-19 00:00:00.0000000 +00:00,2017-10-10 00:00:00.0000000 +00:00,2019-04-16 00:00:00.0000000 +00:00,2019-06-06 00:00:00.0000000 +00:00,2020-02-29 00:00:00.0000000 +00:00,2022-04-16 00:00:00.0000000 +00:00,,2022-04-16 00:00:00.0000000 +00:00,2022-04-16 00:00:00.0000000 +00:00,,2017-10-30 11:09:08.6405728 -04:00
HWCBLSTN1,Y,2006-12-05 00:00:00.0000000 +00:00,2007-03-06 00:00:00.0000000 +00:00,2016-06-30 00:00:00.0000000 +00:00,2017-01-15 00:00:00.0000000 +00:00,2019-01-16 00:00:00.0000000 +00:00,2006-12-05 00:00:00.0000000 +00:00,2007-03-06 00:00:00.0000000 +00:00,2008-01-09 00:00:00.0000000 +00:00,2008-03-25 00:00:00.0000000 +00:00,2009-03-25 00:00:00.0000000 +00:00,2006-12-05 00:00:00.0000000 +00:00,2007-09-25 00:00:00.0000000 +00:00,2014-09-27 00:00:00.0000000 +00:00,2015-03-28 00:00:00.0000000 +00:00,2017-03-28 00:00:00.0000000 +00:00,2006-12-05 12:00:00.0000000 +00:00,2007-12-03 12:00:00.0000000 +00:00,,,,2024-12-20 00:00:00.0000000 +00:00,2020-01-17 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-27 15:44:06.0703937 -04:00
HWCPEDLOC,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01 13:00:19.9570000 +00:00,
HWCSCH3A,Y,2008-08-20 00:00:00.0000000 +00:00,2009-08-22 00:00:00.0000000 +00:00,2010-02-23 00:00:00.0000000 +00:00,2011-05-17 00:00:00.0000000 +00:00,2012-06-23 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2009-06-01 00:00:00.0000000 +00:00,2010-01-16 00:00:00.0000000 +00:00,2010-07-16 00:00:00.0000000 +00:00,2011-07-15 00:00:00.0000000 +00:00,,,,,,2008-08-20 17:00:00.0000000 +00:00,2009-08-22 17:00:00.0000000 +00:00,2010-02-23 00:00:00.0000000 +00:00,2011-05-02 00:00:00.0000000 +00:00,2012-06-08 18:00:00.0000000 +00:00,2010-01-10 00:00:00.0000000 +00:00,2012-08-01 00:00:00.0000000 +00:00,,2008-08-20 17:00:00.0000000 +00:00,,2009-08-22 17:00:00.0000000 +00:00,2009-11-10 00:00:00.0000000 +00:00,2009-11-10 00:00:00.0000000 +00:00,2009-11-10 00:00:00.0000000 +00:00,,2009-11-10 00:00:00.0000000 +00:00,,,,,,,2010-02-23 00:00:00.0000000 +00:00,,2011-05-02 00:00:00.0000000 +00:00,,2012-06-08 18:00:00.0000000 +00:00,2018-07-15 00:00:00.0000000 +00:00,2018-07-15 00:00:00.0000000 +00:00,,,2018-07-15 00:00:00.0000000 +00:00,,2017-09-29 07:54:03.5425770 -04:00
HWCSCH3B2,Y,2008-08-20 00:00:00.0000000 +00:00,2010-04-09 00:00:00.0000000 +00:00,2013-08-08 00:00:00.0000000 +00:00,2015-04-27 00:00:00.0000000 +00:00,2017-11-30 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2010-04-12 00:00:00.0000000 +00:00,2013-06-30 00:00:00.0000000 +00:00,2013-12-27 00:00:00.0000000 +00:00,2014-12-27 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2010-04-09 00:00:00.0000000 +00:00,2013-10-27 00:00:00.0000000 +00:00,2014-05-26 00:00:00.0000000 +00:00,2015-05-26 00:00:00.0000000 +00:00,2008-08-20 12:00:00.0000000 +00:00,2010-04-12 12:00:00.0000000 +00:00,2013-06-30 00:00:00.0000000 +00:00,2015-04-27 00:00:00.0000000 +00:00,,2013-09-19 00:00:00.0000000 +00:00,2016-07-24 00:00:00.0000000 +00:00,2008-08-20 12:00:00.0000000 +00:00,2008-08-20 12:00:00.0000000 +00:00,2010-04-12 12:00:00.0000000 +00:00,2010-04-12 12:00:00.0000000 +00:00,,2013-01-04 00:00:00.0000000 +00:00,2013-01-04 00:00:00.0000000 +00:00,2013-01-04 00:00:00.0000000 +00:00,2013-01-04 00:00:00.0000000 +00:00,,,,,,2013-08-08 00:00:00.0000000 +00:00,2013-06-30 00:00:00.0000000 +00:00,2015-04-27 00:00:00.0000000 +00:00,2015-04-27 00:00:00.0000000 +00:00,2016-07-24 00:00:00.0000000 +00:00,2016-07-24 00:00:00.0000000 +00:00,2017-12-26 00:00:00.0000000 +00:00,2020-11-30 00:00:00.0000000 +00:00,,2019-07-24 00:00:00.0000000 +00:00,2019-07-24 00:00:00.0000000 +00:00,,2017-09-11 15:14:50.6572684 -04:00
HWCSCH3B3,Y,2008-08-20 00:00:00.0000000 +00:00,2010-05-12 00:00:00.0000000 +00:00,2012-12-28 00:00:00.0000000 +00:00,2014-03-17 00:00:00.0000000 +00:00,2015-06-14 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2010-05-12 00:00:00.0000000 +00:00,2013-01-15 00:00:00.0000000 +00:00,2013-07-15 00:00:00.0000000 +00:00,2014-07-15 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2010-05-12 00:00:00.0000000 +00:00,2013-06-15 00:00:00.0000000 +00:00,2014-05-11 00:00:00.0000000 +00:00,2015-05-11 00:00:00.0000000 +00:00,2008-08-20 12:00:00.0000000 +00:00,2010-05-12 12:00:00.0000000 +00:00,2012-12-28 00:00:00.0000000 +00:00,2013-07-15 12:00:00.0000000 +00:00,2015-06-12 17:00:00.0000000 +00:00,2013-05-28 00:00:00.0000000 +00:00,2015-06-14 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2008-08-20 12:00:00.0000000 +00:00,2010-05-12 00:00:00.0000000 +00:00,2010-05-12 12:00:00.0000000 +00:00,2012-01-18 00:00:00.0000000 +00:00,2012-01-18 00:00:00.0000000 +00:00,2012-01-18 00:00:00.0000000 +00:00,2012-01-18 00:00:00.0000000 +00:00,2012-01-18 00:00:00.0000000 +00:00,,,,,,2012-12-28 00:00:00.0000000 +00:00,2012-12-28 00:00:00.0000000 +00:00,2013-07-15 00:00:00.0000000 +00:00,2013-07-15 12:00:00.0000000 +00:00,2015-06-14 00:00:00.0000000 +00:00,2015-06-12 17:00:00.0000000 +00:00,2017-07-14 00:00:00.0000000 +00:00,2018-06-14 00:00:00.0000000 +00:00,,2018-06-14 00:00:00.0000000 +00:00,2018-06-14 00:00:00.0000000 +00:00,,
HWCSCH3E1,Y,2004-04-08 00:00:00.0000000 +00:00,2010-08-10 00:00:00.0000000 +00:00,2014-02-25 00:00:00.0000000 +00:00,2015-01-19 00:00:00.0000000 +00:00,2016-01-19 00:00:00.0000000 +00:00,2004-04-08 00:00:00.0000000 +00:00,2010-08-12 00:00:00.0000000 +00:00,2011-10-13 00:00:00.0000000 +00:00,2012-06-27 00:00:00.0000000 +00:00,2013-06-26 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2014-12-24 00:00:00.0000000 +00:00,2017-07-08 00:00:00.0000000 +00:00,2018-02-05 00:00:00.0000000 +00:00,2019-07-27 00:00:00.0000000 +00:00,2004-04-08 12:00:00.0000000 +00:00,2010-08-10 00:00:00.0000000 +00:00,2014-02-25 00:00:00.0000000 +00:00,2015-01-19 00:00:00.0000000 +00:00,2016-01-19 00:00:00.0000000 +00:00,2014-02-25 00:00:00.0000000 +00:00,2016-01-19 00:00:00.0000000 +00:00,2004-04-08 00:00:00.0000000 +00:00,2004-04-08 00:00:00.0000000 +00:00,2010-08-10 00:00:00.0000000 +00:00,2010-08-10 00:00:00.0000000 +00:00,2011-02-28 00:00:00.0000000 +00:00,2011-02-28 00:00:00.0000000 +00:00,2011-02-28 00:00:00.0000000 +00:00,2011-02-28 00:00:00.0000000 +00:00,2011-02-28 00:00:00.0000000 +00:00,,,,,,2014-02-25 00:00:00.0000000 +00:00,2014-02-25 00:00:00.0000000 +00:00,2015-01-19 00:00:00.0000000 +00:00,2015-01-19 00:00:00.0000000 +00:00,2016-01-19 00:00:00.0000000 +00:00,2016-01-19 00:00:00.0000000 +00:00,2019-01-17 00:00:00.0000000 +00:00,2019-01-17 00:00:00.0000000 +00:00,,2019-01-17 00:00:00.0000000 +00:00,2019-01-17 00:00:00.0000000 +00:00,,2017-11-20 12:09:05.6097669 -05:00
HWCSCH3E-R,Y,2012-10-12 00:00:00.0000000 +00:00,2012-10-17 00:00:00.0000000 +00:00,2013-01-31 00:00:00.0000000 +00:00,2014-12-21 00:00:00.0000000 +00:00,2016-06-30 00:00:00.0000000 +00:00,2012-10-13 00:00:00.0000000 +00:00,2012-10-17 00:00:00.0000000 +00:00,2013-01-31 00:00:00.0000000 +00:00,2013-08-06 00:00:00.0000000 +00:00,2015-01-29 00:00:00.0000000 +00:00,2012-10-12 00:00:00.0000000 +00:00,2012-10-16 00:00:00.0000000 +00:00,2013-02-16 00:00:00.0000000 +00:00,2014-03-14 00:00:00.0000000 +00:00,2015-09-04 00:00:00.0000000 +00:00,2012-10-13 12:00:00.0000000 +00:00,2012-10-17 12:00:00.0000000 +00:00,2013-01-31 00:00:00.0000000 +00:00,2014-04-14 18:00:00.0000000 +00:00,2016-06-30 18:00:00.0000000 +00:00,,2016-06-30 00:00:00.0000000 +00:00,,2012-10-13 12:00:00.0000000 +00:00,,2012-10-17 12:00:00.0000000 +00:00,2012-11-25 00:00:00.0000000 +00:00,2012-11-25 00:00:00.0000000 +00:00,2012-11-25 00:00:00.0000000 +00:00,,2012-11-25 00:00:00.0000000 +00:00,,,,,,,2013-01-31 00:00:00.0000000 +00:00,,2014-04-14 18:00:00.0000000 +00:00,,2016-06-30 18:00:00.0000000 +00:00,2018-01-29 00:00:00.0000000 +00:00,2019-06-30 00:00:00.0000000 +00:00,,,2019-06-30 00:00:00.0000000 +00:00,,
HWCSCH3F,Y,2008-08-20 00:00:00.0000000 +00:00,2011-06-01 00:00:00.0000000 +00:00,2013-10-28 00:00:00.0000000 +00:00,2015-05-04 00:00:00.0000000 +00:00,2016-05-09 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2010-04-27 00:00:00.0000000 +00:00,2013-10-28 00:00:00.0000000 +00:00,2015-05-04 00:00:00.0000000 +00:00,2016-05-09 00:00:00.0000000 +00:00,2008-08-20 00:00:00.0000000 +00:00,2010-04-27 00:00:00.0000000 +00:00,2014-04-26 00:00:00.0000000 +00:00,2015-03-03 00:00:00.0000000 +00:00,2026-05-29 00:00:00.0000000 +00:00,2008-08-20 12:00:00.0000000 +00:00,2010-04-27 00:00:00.0000000 +00:00,2013-10-28 00:00:00.0000000 +00:00,2015-05-04 18:00:00.0000000 +00:00,2016-05-09 17:00:00.0000000 +00:00,,2016-05-09 00:00:00.0000000 +00:00,,,,,2012-10-28 00:00:00.0000000 +00:00,2012-10-28 00:00:00.0000000 +00:00,2012-10-28 00:00:00.0000000 +00:00,,,,,,,,2013-10-28 00:00:00.0000000 +00:00,,2015-05-04 00:00:00.0000000 +00:00,,2016-05-09 00:00:00.0000000 +00:00,,2019-05-09 00:00:00.0000000 +00:00,2019-05-09 00:00:00.0000000 +00:00,,,,,2017-09-13 15:14:29.8426179 -04:00
