ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
BED776,BED-776,Y,Infrastructure,BROOKLYN,WM REPLMT EAST NEW YORK AVE,"Trunk Water Main replacement in: 

1. East New York Avenue between Howard Avenue and Pacific Street.
2. Jamaica Avenue between Herkimer Street and Vermont Street.
3. Atlantic Avenue between Van Sinderen Avenue and Pennsylvania Avenue.",Trunk Water Main replacement in East New York Avenue between Howard Avenue and Pacific Street; Jamaica Avenue between Herkimer Street and Vermont Street; and Atlantic Avenue between Van Sinderen Avenue and Pennsylvania Avenue.,Brooklyn,,Environmental Protection,Pre-Design/PrgDevelopment,Water,Standard,In-House,Requirements TO,PIMS,FALSE,,2015,2018,,DDC
BED777,BED-777,Y,Infrastructure,BROOKLYN,TRUNK & DIST. WM REPLMT IN LEONARD STREET,"Trunk and distribution water mains replacement in:

Leonard Street between Driggs Avenue and Maujer Street

WM-6
1. Leonard Street between Driggs Avenue and Maujer Street
2. Intersection of Leonard Street and Maujer Street

WM-1
1. Leonard Street between Driggs Avenue and Maujer Street including all intersections.

Sanitary Sewer in:
1. Leonard Street between Driggs Ave and Manhattan Ave

Combined Sewers in:
1. Leonard Street between Engert Avenue and Bayard Street
2. Leonard Street between Richardson Street and Meeker Avenue
3. Along Skillman Avenue at Leonard Street
4. Metropolitan Avenue between Leonard Street and Manhattan Avenue
5. Leonard Street betweeb Devoe Street and Ainsile Street","Trunk and distribution water mains replacement in:

Leonard Street between Driggs Avenue and Maujer Street",Brooklyn,,Environmental Protection,Construction 0-25%,Water,Standard,Standard Consultant,Standard Consultant,PIMS,FALSE,,2014,2016,,DDC
BED778A,BED-778A,Y,Infrastructure,BROOKLYN,REPLACEMENT OF TRUNK WATER MAINS IN ATLANTIC AVE,"Trunk and Distribution Water Mains Replacement in Atlantic Avenue between Carlton Avenue and Portland Avenue in the Borough of Brooklyn.

Water Main (WM-6) in:
1. Atlantic Avenue from Carlton Avenue to South Portland Avenue.
2. Intersection of Atlantic Avenue and Carlton Avenue.

Water Main(WM -1) in:
1. Atlantic Avenue(SS) from Carlton Avenue to South Portland Avenue
2. Intersection of Atlantic Avenue and Carlton Avenue
3. Intersection of Atlantic Avenue and Cumberland Street.","Trunk and Distribution Water Mains Replacement in Atlantic Avenue between Carlton Avenue and Portland Avenue in the Borough of Brooklyn.

Water Main (WM-6) in:
1. Atlantic Avenue from Carlton Avenue to South Portland Avenue.
2. Intersection of Atlantic Avenue and Carlton Avenue.

Water Main(WM -1) in:
1. Atlantic Avenue(SS) from Carlton Avenue to South Portland Avenue
2. Intersection of Atlantic Avenue and Carlton Avenue
3. Intersection of Atlantic Avenue and Cumberland Street.",Brooklyn,,Environmental Protection,On-Hold,Water,Standard,In-House,Requirements TO,PIMS,FALSE,,2014,2019,,DDC
E3000M019R,E3000DDC ,N,Public Buildings,Schools,PS19 M Phase I (Roof) FY 1997,Roof Rehab.,,,,Education,Completed Project,Renovation,Mayoral In,,CM-Build,,,,,,,DDC
E3000M020,E3000DDC ,N,Public Buildings,Schools,PS20 M Phase I (Masonry) FY 1997,"The work entails replacement of deteriorated metal shelf angles at North elevation, minor repair; and replacement of roof and masonry and exterior doors.",,Manhattan,,Education,Completed Project,Renovation,Mayoral In,,CM-Build,,,,,1997,,DDC
E3000M020A,E3000DDC ,N,Public Buildings,Schools,PS 20 M  PHASE II (Windows) FY 1997,Windows Replacement,,,,Education,Completed Project,Renovation,Mayoral In,,CM-Manage,,,,,,,DDC
BED798,BED798,Y,Infrastructure,BROOKLYN,"REPLACEMENT OF 72"" TRUNK WM IN FLATBUSH AVE","72"" Trunk Water Main and Combined Sewer Replacement in Flatbush Ave. between Sterling Pl. and 8th Ave., etc., Borough of Brooklyn.

WM-6 in:
1. Flatbush Ave. between Park Place and 8th Ave
2. 8th Ave. between Flatbush Ave. and Lincoln Place
3. Park Place between 5th Ave. and 6th Avenue
4. St. Johns Place between 5th Ave. and 8th Ave
5. 6th Avenue between Park Place and Union Street

WM-1 in:
1. Flatbush Avenue between Park Place and 8th Avenue
 
Combined sewer in:
1. Park Place between 5th Ave. and 6th Avenue
2. St. Johns Place between 5th Ave. and  Flatbush  Ave.
3. 6th Avenue between Park Place and Union Street
4. 8th Ave. between St. John's Place and Lincoln Place

Additional scope:
Reconstruction of triangle at 8th Avenue and Flatbush Avenue removed from HWK300-01 and to be constructed under the BED-798.","72"" Trunk Water Main and Combined Sewer Replacement in Flatbush Ave. between Sterling Pl. and 8th Ave., etc., Borough of Brooklyn.

WM-6 in:",Brooklyn,,Environmental Protection,Construction 0-25%,Water,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2018,,DDC
BED809,BED-809,Y,Infrastructure,BROOKLYN,"RECONSTRUCTION OF WATER MAIN IN AVENUE S, BK","RECONSTRUCTION OF WATER MAIN IN AVENUE S, BK","Replacement of Water Mains in Avenue S between Coney Island Avenue and E18th street, Borough of Brooklyn.",Brooklyn,,Environmental Protection,Compliance,Water,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2016,2018,,DDC
BED819,BED-819,Y,Infrastructure,BROOKLYN,"WATERMAIN REPLACEMENT IN ORIENTAL BLVD, BROOKLYN","WATERMAIN REPLACEMENT IN ORIENTAL BLVD, BROOKLYN","WATERMAIN REPLACEMENT IN ORIENTAL BLVD, BROOKLYN",Brooklyn,,Environmental Protection,Design Development,Water,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2017,2019,,DDC
BEDA001,BEDA-001,Y,Infrastructure,BROOKLYN,"ACCELERATED DIST. WM REPL. & SEWER REHAB., BK","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BK","Accelerated Distribution Water Main Replacement and Sewer Rehabilitation/Replacement, Brooklyn",Brooklyn,,Environmental Protection,Substantial Completion,Water,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2016,,DDC
BEDA002,BEDA-002,Y,Infrastructure,BROOKLYN,"ACCELERATED DIST WATER MAIN REPLACEMENT, BK","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BROOKLYN","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BROOKLYN",Brooklyn,,Environmental Protection,Construction 0-25%,Water,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2016,,DDC
BEDA003,BEDA-003,Y,Infrastructure,BROOKLYN,"ACCELERATED DIST WATER MAIN REPLACEMENT, BK","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BROOKLYN","ACCELERATED DISTRIBUTION WATER MAIN REPLACEMENT AND SEWER REHABILITATION/REPLACEMENT, BROOKLYN",Brooklyn,,Environmental Protection,Construction 0-25%,Water,Critical,Requirements TO,Requirement Contract,PIMS,FALSE,,2016,2018,,DDC
C75FCADGRVC,C75-FCAD,Y,Public Buildings,Corrections,FACADE RECONSTRUCTION AT GRVC,The project includes the design and construction  services for the compliance of the 6th cycle of Local Law 11/98 for the exterior façade of 200 and 300 bed buildings at GRVC.,Design and construction services for exterior facade Local Law 11/98 compliance--GRVC 200 and 300 bed buildings.,,,Corrections,Substantial Completion,Renovation,Standard,Standard Consultant,DDC Managed,Project Info,FALSE,,,,,DDC
E3000M180P,E3000DDC ,N,Public Buildings,Schools,PS180 M Phase I (Parapet) FY 1997,Repointing masonry facade,,,,Education,Completed Project,Renovation,Mayoral In,,CM-Build,,,,,,,DDC
E3000M180R,E3000DDC ,N,Public Buildings,Schools,PS180 M Phase I ( Roof) FY 1997,repalce deteriorated roof.,,,,Education,Completed Project,Renovation,Mayoral In,,CM-Build,,,,,,,DDC
C114NEWRI,C114NEWRI,Y,Public Buildings,CORRECTIONS,NEW RIKERS ISLAND FACILTY,"The Rikers Island New Facility is part of an overall DOC Capacity Replacement Program plan which proposes the demolition of the temporary deteriorating constructions and building new state-of –the –art facilities. 
The program includes: housing of 1300-bed male detention center with 200-bed infirmary, central intake with a central storage, outside parking areas and a study of the new building traffic impact.  The gross area is 607,000sqf.
The building seeks silver LEED certification.","The Rikers Island New Facility is part of an overall DOC Capacity Replacement Program plan which proposes the demolition of the temporary deteriorating constructions and building new state-of –the –art facilities. 
The program includes: housing of 1300-bed male detention center with 200-bed infirmary, central intake with a central storage, outside parking areas and a study of the new building traffic impact.  The gross area is 607,000sqf.
The building seeks silver LEED certification.",Bronx,,Corrections,Cancelled Project,New Construction,Standard,Standard Consultant,,PIMS,FALSE,,,,,DDC
C114NEWRIP1,C114NEWRI,Y,Public Buildings,Corrections,NEW RIKERS ISLAND FACILTY SITE PREPARATION PHASE 1,"Demolish 12 existing Sprung type temporary enclosures; 12 attached bathroom unit including fixtures and finishes; four raised site trailers including all interior mechanical,electrical and plumbing installations. The  site electrical distribution to the Sprungs is to be disconnected and demolished to the power source.",,,,Corrections,Substantial Completion,New Construction,Standard,Standard Consultant,JOCs,Project Info,FALSE,,,,,DDC
C114NEWRIP2,C114NEWRI,Y,Public Buildings,CORRECTIONS,NEW RIKERS ISLAND FACILTY SITE PREPARATION PHASE 2,"This project consists of demolition of the existing modular buildings, fencing,trees, trailers, electrical substations and transformers,underground utilities. New paved access road and three new recreation areas. New electrical transformer, underground feeders,manholes.emergency genarator and fuel oil tank. New fencing.","This project consists of demolition of the existing modular buildings, fencing,trees, trailers, electrical substations and transformers,underground utilities. New paved access road and three new recreation areas. New electrical transformer, underground feeders,manholes.emergency genarator and fuel oil tank. New fencing.",Bronx,,Corrections,Construction 75%-Subst.,New Construction,Standard,Standard Consultant,CM-Managed,PIMS,FALSE,,,2015,,DDC
C75FCADEMDC,C75FCADE,Y,Public Buildings,CORRECTIONS,Facade Reconstruction LL11 compliance MDC,"The project includes the design and construction of exterior masonry façade repairs at the Manhattan Detention Center (MDC) facility.  The facades will first be surveyed, and based on the findings, repair work will be designed and implemented.","The project includes the design and construction of exterior masonry façade repairs at the Manhattan Detention Center (MDC) facility.  The facades will first be surveyed, and based on the findings, repair work will be designed and implemented.",Manhattan,,Corrections,Construction Procurement,Renovation,Standard,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
C75-FCADEMT,C75-FCAD,Y,Public Buildings,Corrections,Facade reconstruction at EMTC,"The project includes the design and construction of exterior masonry facade repairs at the Eric M. Taylor Center l(EMTC) facility on Rikers Island.  The facades will first be surveyed, and based on the findings, repair work will be designed and implemented.","Exterior masonry facade repairs at EMTC, Rikers Island.

",,,Corrections,Construction 75%-Subst.,Renovation,Standard,Standard Consultant,JOCs,PIMS,FALSE,,,,,DDC
ENGINSP3,ENGINSP3 ,N,Safety and Site Support,Quality Assurance,Engineering Inspection Contract,,,,,,,,,,,,,,,,,
ENGINSP4,ENGINSP4 ,N,Safety and Site Support,Quality Assurance,Engineering Inspection Contract #4,,,,,,,,,,,,,,,,,
C75-FCADNIC,C75-FCAD,Y,Public Buildings,Corrections,Facade reconstruction at NIC,"The project involves the compliance of the 6th cycle of Local Law 11/98 for the exterior facade of the North Infirmary Command Center(NIC) at Rikers Island.  The facades must be surveyed and reports are to be filed with DOB. Based on the survey results, any necessary repair work will be designed and constructed.","Perform exterior survey and related facade work on the North Infirmary Command Center at Rikers Island for compliance with Local Law 11.

",,,Corrections,Substantial Completion,Renovation,Standard,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
CC1C3,CC1C3,Y,Public Buildings,Human Services,1 CENTRE ST.- OFFICES FROM 49-51 CHAMBERS ST. - 22,"The project involves renovation work on part of the 22nd floor at 1 Centre St, Manhattan Municipal Building. 
The work consists of a complete renovation including but not limited to new lighting, HVAC, interior construction and plumbing.
This project is part of the overall Civic Center Plan to dispose of three city-owned buildings. 
This project will backfill vacancies and increase efficiency as well as update the space into modern open-office work environments.","Renovation work on the 22nd floor of 1 Centre Street (Municipal Building), Manhattan, including new lighting, HVAC, interior reconfiguration and plumbing.

",,,DCAS,Maintenance,Renovation,Critical,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
CC253B-1,CC253B,Y,Public Buildings,Human Services,100 Gold 3rd Fl Reno,"The renovation of 3rd Floor at 100 Gold St to accommodate DOE, Parks &Grow NYC.","Renovation of 3rd Floor at 100 Gold Street to accommodate DOE, Parks &Grow NYC.",,,DCAS,Acceptance/Final Completion,Renovation,Standard,Requirements TO,Requirements TO,PIMS,TRUE,,,,,DDC
CC253B-1,CC253B-1,Y,Public Buildings,Human Services,100 Gold 3rd Fl Reno,"The renovation of 3rd Floor at 100 Gold St to accommodate DOE, Parks &Grow NYC.","Renovation of 3rd Floor at 100 Gold Street to accommodate DOE, Parks &Grow NYC.",,,DCAS,Acceptance/Final Completion,Renovation,Standard,Requirements TO,Requirements TO,PIMS,TRUE,,,,,DDC
CITYHALLR,CITYHALLR,Y,Public Buildings,Human Services,CITY HALL ROOF REPAIR AND CITY HALL RENOVATION PRO,"Phase 4 work: 
1. Replace deteriorated concrete deck above Rotunda with new metal deck.
2. Replace entire roof with new zinc-coated copper metal roofing system.
3. Balustrade repairs and waterproofing.
4. Bluestone restoration (FMS ID:P-3PL14A2) - COMPLETED.
5.ADA lift upgrade","Replace deteriorated concrete deck above Rotunda with new metal deck; replace entire roof with new zinc-coated copper metal roofing system; balustrade repairs and waterproofing.
",,,DCAS,Completed Project,Renovation,Standard,Standard Consultant,CM-Build,PIMS,FALSE,,,,,
CJCREN,CJCREN,Y,Public Buildings,Courts,Crossroads Juvenile Center,Major renovation and upgrade of all building systems,,Brooklyn,,,,Renovation,,,,PIMS,FALSE,,,,,DDC
CMEHVAC,CMEHVAC,Y,Public Buildings,HEALTH,OCME: HIRSCH CENTER 421 EAST 26TH. HVAC & ANCILLAR,"HVAC upgrades for the Evidence Area of OCME-Hirsh Center at 421 E. 26th St, Manh. sub-level 1.
Install secured doors between Lab and Evidence Holding Office on 5th Fl.","OCME Hirsch Center, Evidence Area - Indoor Air Quality (IAQ) remediation and ancillary works.",Manhattan,,Health,Design Development,Upgrade,,Requirements TO,JOCS,PIMS,FALSE,,2017,2018,,
HL82RVREX-I,HL82RVREX,N,Public Buildings,Health,INTERIOR RENOVATION OF RIVERSIDE HEALTH CENTER,,,,,Health,Cancelled Project,Renovation,Critical,Requirements TO,DDC Managed,,,,,,,DDC
HL82S001B,HL82S001B,N,Public Buildings,Health,PUB HEALTH LAB FACADE RECON,"Public Health Laboratory 
455 First Ave.
New York, N.Y.
(First Ave. & East 26th Street)
Stabilization of stone panels and general rehabilitation of exterior envelope.",,Manhattan,,Health,Completed Project,Renovation,Standard,,Standard Design/Const.,,,,,2000,,DDC
CO272ELC2,CO272ELC2,Y,Public Buildings,COURTS,45 MONROE PL - ELECTRICAL  / FA UPGRADE,"Replace and upgrade the switchgear and the electrical distribution panels. 
Replace feeder/ riser wiring. 
Provide a new Emergency Generator for all Life Safety Systems.
Provide a new Fire Alarm System to replace existing.
Comply with new 2014 NYC Electrical Code.","1)AECOM start on 5/26/16 to do the roof top probes in the vicinity of emergency generator, and electrical closet location to meet the requirement of 3 feet clearance in front of panels
2) FDNY requested AECOM to submit the sign and seal drawings and a check for $420 payable to NYC FDNY.
3) The roof top investigation cut 2ft x 1ft shows roof insulation was very slightly wet and can be squeezed the water out, DDC notified the DCAS on 6/3/16 the roof top condition.
4) AECOM to perform their internal constructability review at 45 Monroe place approx. need three days after roof top investigation completed.",Brooklyn,,DCAS,Construction Procurement,Upgrade,Standard,Requirements TO,,PIMS,FALSE,,2016,,,DDC
CO272ELV2,CO272ELV2,Y,Public Buildings,COURTS,45 MONROE PL - ELEVATOR Modernization,"Modernization of the two elevators at the Appelate Court in Brooklyn.
Location - 45 Monroe Place, Brooklyn  NY.
All major components will be replaced both in kind and with technology upgrades: for example, existing DC geared traction hoist machines will be replaced with AC gearless VVVF - AC drives and corresponding controllers.","On 4/17/17 Controller registered the project for construction cost.
NTP letter was issued to contractor Knightsbridge on 4/18/17 start for construction.
The kick-off meeting held on Monday 4/17/17, DDC, DCAS, and Knightsbridge all attend the meeting.",Brooklyn,,DCAS,Construction 0-25%,Upgrade,Standard,Requirements TO,,PIMS,FALSE,,2016,,,DDC
CO277ELV2,CO277ELV2,Y,Public Buildings,COURTS,25-10 COURT HOUSE SQ.- ELEVATORS,The project provides for a comprehensive renovation of the facility's two elevators.,The project provides for a comprehensive renovation of the facility's two elevators.,Queens,,DCAS,Construction 0-25%,Renovation,Standard,Requirement Contract,Individual Contract(s),PIMS,FALSE,,,,,DDC
CO277FA,CO277FA,Y,Public Buildings,COURTS,126 Long Island City Courthouse: Fire Alarms,CO277FA Long Island Courthouse Fire Alarm upgrade,"This project is to upgrade 60-year old electrical and FA infrastructure to the current codes and standards.  Work includes but is not limited to: analysis and replacement of the switchgear, electrical distribution panels and MCC's; complete replacement of all braided cloth type wiring; installation of a computerized energy management system; upgrade the emergency generator plant and power distribution for all life safety systems; and, complete replacement of the fire alarm system to be in compliance with current code.",Queens,,DCAS,On-Hold,Upgrade,Standard,,,PIMS,FALSE,,,,,DDC
CO283SID2,CO283SID2,Y,Public Buildings,COURTS,100 Centre Sidewalk Stabilization and Ramps,"Sidewalk replacement and handicap accessibility. Project involves replacement of the sidewalk, restoration of the entrances to the building, new handicap ramps on the North and Side entrances to the building on Centre Street.","Sidewalk replacement and handicap accessibility. Project involves replacement of the sidewalk, restoration of the entrances to the building, new handicap ramps on the North and Side entrances to the building on Centre Street.",Manhattan,,DCAS,Construction 0-25%,Sidewalks,Standard,Standard Consultant,CM-Managed,PIMS,FALSE,,2016,2017,,DDC
CO283TOIL,CO283TOIL,Y,Public Buildings,Courts,Criminal Courthouse: 100 Centre Street,ADA & Code Compliant Public Restroom/Holding Cell Toilet Upgrade/Renovations,850 CO283TOIL Criminal Courthouse: 100 Centre Street. Code Compliant ADA  Men's/Women's Public Restroom(s) Upgrade/Renovation.,Manhattan,,DCAS,Pre-Preliminary Design,Upgrade,Standard,Requirement Contract,Requirement Contract,PIMS,FALSE,,2017,2017,,DDC
CO278EXT2,CO278EXT2,Y,Public Buildings,COURTS,Brooklyn Supreme Court Facade Rehabilitation,"Undertake a comprehensible restoration of the façade and its elements as well as removing and replacing sections of the roof parapet and associated flashing.  Secure loose parapets stone coping and repointing parapet.  Reinforced and/or replace damaged and/or displaced stone panels.  Reinforcement and/or replacement of deteriorated/rusty structural steel behind the façade as well as sagging steel above wall openings, seal windows and adjuncts openings. Rehabilitation of large section of deteriorate masonry as well as cleaning of the stone façade and aluminum fenestration to protect pedestrians and restore the building appearance to an esthetically acceptable state.","Undertake a comprehensible rehabilitation/restoration of the façade and its elements as well as removing/replacing section(s) of the roof parapets and its associated flashing.  Replacement of deteriorated/rusty structural steel behind the faced and above wall openings, windows and adjuncts openings.  The work will also include cleaning of the stone façade envelope. The work will address Local Law 11 requirements, protect pedestrians, waterproof the building envelope and prevent further damage to the stone cladding.",Brooklyn,,DCAS,Schematic Design,Renovation,Standard,Requirements TO,Requirements TO,PIMS,TRUE,,,,,DDC
CO278FA3,CO278FA3,Y,Public Buildings,Courts,Brooklyn Supreme court 360 Adams Fire Alarms,"New addressable non-proprietary Fire Detection & Alarm system in full compliance with current Building, Electrical & Fire Protection Codes of the City of New York as mandated by Local Law #5 of 1973 and its latest amendments.
New sprinkler system prior to 2019 as mandated by Local Law 26.","New addressable non-proprietary Fire Detection & Alarm system in full compliance with current Building, Electrical & Fire Protection Codes of the City of New York as mandated by Local Law #5 of 1973 and its latest amendments.
New sprinkler system prior to 2019 as mandated by Local Law 26.",Brooklyn,,DCAS,Design Development,Upgrade,Standard,Standard Consultant,CM-Managed,PIMS,FALSE,,,,,DDC
CO281BOIL,CO281BOIL,Y,Public Buildings,Courts,Boiler feed upgrade.,Boiler water feed replacement,,,,DCAS,Maintenance,New Construction,Standard,Standard Consultant,DDC Managed,PIMS,FALSE,,,,,
CO281ELEC,CO281ELEC,Y,Public Buildings,Courts,120 Schermerhorn Elec & Emerg Generator Upgrade,"The Intent of this Electrical Upgrade project is to update 80+ Years old Central Criminal Court Building with new Electrical power.   
Con ED Electrical Service is increase from 4,000 Amp to 8,000 Amp
New Emergency Generator, installed on the roof, will provide 1,25 MW of Backup Power for engineering systems in Building.
(Old / Existing Generator was supplying only 250 KW electrical powers)","Upgrade 80 year old Central Criminal Court building with new 8000 amp. electrical power service and install new emergency generator which will provide 1,25 MW of backup power.",,,DCAS,Substantial Completion,Upgrade,Standard,,DDC Managed,PIMS,FALSE,,,,,DDC
CO281FA,CO281FA,Y,Public Buildings,Courts,Kings County Criminal Court - Fire Alarm,"Provide a complete Class ""E"" Fire Alarm  System of the addressable non- coded type to complement the new existing System installed as a part of the Kings County Criminal Court Renovation project ( Phase I)
.In the Phase I of the Renovation project new system was installed in the area of Construction only. 
The additional System will cover all spaces to constitute one Fire Alarm System for the entire building.","Install a complete Class ""E"" Fire Alarm  System of the addressable non- coded type, augmenting work done in Phase I of this project, to provide one Fire Alarm System for the entire building.",,,DCAS,Maintenance,Upgrade,Standard,Requirements TO,,PIMS,FALSE,,,,,DDC
CO281TOIL,CO281TOIL,Y,Public Buildings,Courts,Central Courts Building:120 Schermerhorn St.,ADA & Code Compliant Public Restroom/ Holding Cell Toilet Upgrade.,"1. DDC's In-House design consultant had presented three design schemes for the Schematic Design Presentation to DCAS. After presenting the three design concepts, It was determined from the reviews & comments that another meeting would be arrange to determine a final selection of a final design scheme for the public restrooms schematic design presentation..                                             2. For the Holding Cell Toilet Upgrade, In-House designer requested information as to DOC operational procedures in separating user type cell as it relate to holding of inmates. Arrangement of cell(s) user types shall determine the number ADA toilet to provide. DOC has responded and the schematic design drawings will be revised.                                                       3. Since DCAS will only provide funding for design work, DOC has been informed about this situation regarding no construction funding will be provided by DCAS for the holding cell toilet upgrade. DOC was informed about this matter and  is looking into giving DDC a direction.        4. DDC's Asbestos unit has completed a asbestos report for the project.   5. DDC's estimating unit has prepared an estimate for the project.",Brooklyn,,DCAS,Design Development,Upgrade,Standard,In-House,Requirement Contract,PIMS,FALSE,,2016,2018,,DDC
CO283CTSP,CO283CTSP,Y,Public Buildings,Courts,100 Centre St Cooling Towers to Replace Spray Pond,"This project involves  the demolition of the existing HVAC equipment and assoccieted Asbestos abatemend, installation of cooling towers to replace existing spray ponds on the 19th and 20th floors, condenser water risers and pumps and installation of controls from new cooling towers and associated new equipment. The new cooling towers system will provide infrastucture required  to fully meet the condenser water demand for the existing chillers and for future expansion of the chilled water plant to meet the centralized cooling loads of the entire building.","Installation of cooling towers, replacing existing spray ponds, to meet the condenser water demand for existing chillers and for future expansion to cooling the entire building.",,,DCAS,Substantial Completion,Renovation,Standard,Standard Consultant,DDC Managed/Consultant,PIMS,FALSE,,,,,DDC
CO283ELEV,CO283ELEV,Y,Public Buildings,Human Services,100 Centre Street Elevator Modernization - 28 Elev,"A complete modernization of all 28 elevators at 100 Centre Street to include controls, dispatchers, motor drives, hoists, door equipment, deflector sheaves, 2:1 sheaves, compensation sheaves, wires, ropes, cabs, and fixtures.Replace CCTV system with cameras, cables, and monitors. Work also includes lump sum GC and HVAC work.","A complete modernization of all 28 elevators at 100 Centre Street.
",,,DCAS,Substantial Completion,Upgrade,Standard,Standard Consultant,DDC Managed,PIMS,FALSE,,,,,
